双机位B卷
No.	题目	考点	分值
132	投篮大赛	字符串处理	100
133	跳格子2	逻辑分析	100
134	周末爬山	BFS/DFS	200
135	战场索敌	BFS/DFS	200
136	区间连接器 / 连接器问题	贪心算法	200
137	We Are A Team	并查集	100
138	基站维护最短距离 / 基站维修工程师	动态规划	200
139	表达式括号匹配	数据结构	100
140	文本统计分析 / 统计文本数量	正则匹配	200
141	竖直四子棋	逻辑模拟	200
142	贪吃蛇	逻辑模拟	200
143	机器人走迷宫	DFS	200
144	抢7游戏	逻辑模拟	100
145	查找接口成功率最优时间段	动态规划	100
146	特殊的加密算法	BFS/DFS	100
147	数组二叉树	数据结构	200
148	相同数字组成图形的周长	逻辑模拟	200
149	求解连续数列	数学问题	100
150	快递运输	逻辑模拟	100
151	出错的或电路	进制问题	100
152	服务失效判断	并查集	100
153	分积木	位运算	200
154	手机APP防沉迷系统	自定义排序	100
155	字符串摘要	字符串处理	100
156	德州扑克	逻辑模拟	200
157	模拟数据序列化传输	逻辑模拟	200
158	端口合并	数据结构	100
159	最佳植树距离	逻辑分析	100
160	字符串化繁为简	字符串处理	200
161	完全数计算	逻辑模拟	100
162	数列描述	逻辑分析	100
163	城市聚集度	并查集	200
164	最长的完全交替连续方波信号	数据结构	200
165	租车骑绿岛	双指针	100
166	猜字谜	数据结构	100
167	非严格递增连续数字序列	双指针	100
168	无向图染色	暴力遍历	200
169	矩阵元素的边界值	字符串处理	100
170	计算快递业务主站点 / 快递业务站	DFS	200
171	最小传输时延 I	Dijkstra算法	200
172	招聘 / 最少面试官	贪心算法	200
173	最快到达医院的方法	逻辑模拟	100
